113,308,892,1008,1329,1357,2308,2321,2639,2747,4199,4487,4953,5521,5954,7094,7212,7244,7311,7631,7789,7964,8028,8190,8929,8962,9201,9260,9317,9460,10084,10475,10481,10683,10846,11162,12041,12747,12856,13495,14048,14128,14695,14934,15106,15427,15499,15509,16377,17830
18571,18770,19112,19564,19835,20328,20341,20837,20890,21131,22074,22630,22686,23145,23289,24017,24171,24507,24663,24955,25135,26052,26609,26622,26706,27058,27197,27698,28146,28524,28588,29102,29135,29351,30154,30156,30307,30397,30675,30737,31400,31703,31763,31993,32000,32225,32613,32752,33144,33261
33872,34325,34575,34710,34762,35673,35817,35971,36210,37313,37755,38284,38379,38402,38415,38466,38862,38914,39334,40748,40829,41131,41138,41199,41613,42054,42316,42619,43550,43794,44053,44111,44428,44490,46449,46830,47756,48272,48377,48450,48624,48796,48940,49018,49462,49685,49841,50055,50074,50169
50774,51035,51536,51583,52352,52631,53033,53121,53156,53211,53288,53355,54436,54437,54511,55535,55569,55696,55939,56099,56323,56773,57160,57601,57632,58397,58448,59003,59079,59211,59463,60247,60557,60598,60610,60970,61364,62013,62510,62753,63559,63854,63931,64216,64251,64471,64513,64761,65298,65341
65634,65763,65970,66025,66184,66419,67511,67805,68346,69209,69312,69373,69622,69943,70315,70344,70460,70548,70797,71495,71963,72266,73103,73104,73148,74614,75006,75226,75272,75431,75488,75633,76035,76144,76371,76407,76619,77473,77738,77857,77875,78077,78116,78133,78543,79028,80041,80212,80905,80990
81151,81711,82283,82355,82472,82489,82742,83181,83268,84320,84505,84697,84752,85037,85407,85613,85984,87095,87542,87880,87998,88063,88090,88482,88961,90006,90644,91178,91613,91671,92155,92966,93145,93796,93964,94489,94562,94712,94843,94930,94951,95235,95667,96381,96430,96584,96786,96840,96980,97025
97206,97894,98197,98245,98868,99082,99339,99697,99859,99861,100706,101331,101396,101500,101708,101871,102033,102214,102217,102272,102549,102813,102830,102886,103106,103259,103547,103589,103682,104068,104917,105155,105566,105794,106156,106317,107138,107680,108063,108370,108598,109091,109660,109982,110031,110366,110724,110861,111183,111321
111383,111703,111733,112205,112464,112494,113473,113713,113772,114320,114428,114515,114939,116006,116829,116931,117118,117589,117618,117975,118289,119591,119841,120034,120186,121262,121605,121831,122232,123022,123347,123450,123653,123935,123989,124055,124861,124878,125270,125330,125409,125464,126030,126136,126211,126256,126924,126942,127013,127469
128032,128552,128631,129769,129833,130417,130556,130582,131040,131080,131326,131658,131831,132417,132592,132930,132955,133029,133143,133343,133556,133720,134415,135171,135490,135661,135902,136554,136558,136711,136841,137106,137379,137488,137588,137672,137895,138307,138687,138737,138853,139048,139601,139636,139835,140008,140034,140535,140569,141115
141345,141637,141722,143123,143207,143384,144094,144114,144694,144782,144909,144953,145016,145320,145839,145895,146050,146140,146210,146297,146454,146630,146868,146930,146936,147188,147313,148123,148212,148562,149144,149582,149689,150095,150863,151051,151921,152513,152835,152873,153368,153387,153398,153431,153838,153905,154293,154425,154520,155178
155429,155473,155523,155604,155791,156378,156407,156491,156947,157019,157082,157209,157469,158084,158551,159019,159154,159753,159854,159921,160351,160543,160889,161092,161141,162202,162878,163129,163263,163297,163321,163368,163653,164282,164299,164325,164538,164654,164828,165094,165326,165395,165698,165912,166438,167166,167277,167389,167604,167692
168823,169103,169195,169723,170084,170148,170320,170898,171520,171977,172393,172509,173352,173717,174203,174263,174299,174896,175018,175065,175650,175812,175833,176027,176165,176354,176396,176560,176669,176777,177070,177368,177374,177585,178041,178043,178219,178225,178648,179152,179220,179367,180321,180491,180606,181206,181639,181804,181904,182867
183013,183407,183879,183884,184222,184438,184472,184513,184924,184992,185508,185638,186043,186136,186399,186650,186700,186901,186957,187120,187354,187714,188730,188834,189132,189249,189416,189427,189888,190197,190928,190968,191874,192004,192059,192307,192684,193412,194315,194324,194588,194596,194921,195211,195370,195646,195751,195884,195936,196911
197055,197105,197496,198325,198549,198805,199377,199695,200968,201212,201358,201370,201711,201714,202081,202121,202363,202617,202760,202900,203278,203411,204063,204890,204972,205415,206451,206480,206560,206702,207106,207169,207449,208508,209268,209454,209635,209871,210591,210597,210853,211003,211035,211086,211367,211398,211998,212822,212883,213009
