id,x,y
339681,339,681
252256,252,256
986706,986,706
996117,996,117
271685,271,685
829047,829,47
704939,704,939
399519,399,519
238235,238,235
913297,913,297
891953,891,953
408809,408,809
562142,562,142
240898,240,898
609285,609,285
919496,919,496
603240,603,240
644602,644,602
595461,595,461
580754,580,754
225395,225,395
986376,986,376
472480,472,480
509324,509,324
738394,738,394
877634,877,634
226011,226,11
222869,222,869
492520,492,520
436532,436,532
859800,859,800
733537,733,537
443271,443,271
742442,742,442
48377,48,377
984838,984,838
106317,106,317
833143,833,143
51035,51,35
853882,853,882
184222,184,222
981519,981,519
572398,572,398
709553,709,553
492821,492,821
184513,184,513
405733,405,733
338745,338,745
291607,291,607
716990,716,990
285865,285,865
923498,923,498
553690,553,690
307953,307,953
562208,562,208
704509,704,509
602564,602,564
451220,451,220
710356,710,356
958233,958,233
519206,519,206
510862,510,862
360908,360,908
171520,171,520
49685,49,685
996941,996,941
515050,515,50
821789,821,789
977097,977,97
62013,62,13
260361,260,361
253869,253,869
482643,482,643
692557,692,557
671282,671,282
480879,480,879
987043,987,43
112494,112,494
60557,60,557
983990,983,990
419873,419,873
170148,170,148
38914,38,914
699703,699,703
230036,230,36
593911,593,911
123653,123,653
435401,435,401
939454,939,454
626746,626,746
663441,663,441
998757,998,757
850184,850,184
146050,146,50
758264,758,264
826989,826,989
75272,75,272
501499,501,499
343823,343,823
2321,2,321
905545,905,545
679509,679,509
210853,210,853
775641,775,641
768764,768,764
157209,157,209
774731,774,731
873427,873,427
49018,49,18
70797,70,797
535648,535,648
715656,715,656
150095,150,95
146630,146,630
171977,171,977
290207,290,207
876673,876,673
489733,489,733
24955,24,955
598035,598,35
453381,453,381
256912,256,912
898701,898,701
165326,165,326
928370,928,370
137488,137,488
268580,268,580
869884,869,884
555947,555,947
972826,972,826
768044,768,44
792828,792,828
553429,553,429
701614,701,614
809439,809,439
494976,494,976
324841,324,841
848218,848,218
565947,565,947
820162,820,162
972186,972,186
285699,285,699
192684,192,684
435457,435,457
623118,623,118
584012,584,12
153431,153,431
239536,239,536
400985,400,985
614441,614,441
93796,93,796
454610,454,610
937491,937,491
269819,269,819
96430,96,430
121605,121,605
966859,966,859
712244,712,244
484306,484,306
913974,913,974
376801,376,801
843851,843,851
542325,542,325
351212,351,212
428584,428,584
137672,137,672
797950,797,950
81711,81,711
808991,808,991
405897,405,897
852277,852,277
591189,591,189
228770,228,770
272845,272,845
7244,7,244
191874,191,874
771176,771,176
539196,539,196
393275,393,275
804706,804,706
512291,512,291
211398,211,398
634982,634,982
650180,650,180
925503,925,503
994760,994,760
679126,679,126
284866,284,866
9201,9,201
928760,928,760
726975,726,975
537028,537,28
703858,703,858
712102,712,102
886634,886,634
934480,934,480
442541,442,541
601995,601,995
831402,831,402
809584,809,584
238053,238,53
96381,96,381
43794,43,794
339103,339,103
222107,222,107
478317,478,317
102217,102,217
525049,525,49
374804,374,804
744775,744,775
567519,567,519
741994,741,994
604732,604,732
981003,981,3
397726,397,726
808463,808,463
289035,289,35
376251,376,251
560823,560,823
581755,581,755
69312,69,312
209268,209,268
721037,721,37
24663,24,663
665527,665,527
364987,364,987
762376,762,376
888287,888,287
112464,112,464
537268,537,268
851039,851,39
667100,667,100
132930,132,930
760430,760,430
681303,681,303
553950,553,950
545001,545,1
722285,722,285
839404,839,404
637820,637,820
641146,641,146
991909,991,909
542453,542,453
580386,580,386
256514,256,514
413333,413,333
889872,889,872
957050,957,50
593775,593,775
950224,950,224
529288,529,288
74614,74,614
592227,592,227
956963,956,963
816212,816,212
677478,677,478
102549,102,549
170084,170,84
862505,862,505
70460,70,460
756831,756,831
2747,2,747
219725,219,725
170898,170,898
93145,93,145
18770,18,770
155473,155,473
798324,798,324
120186,120,186
844392,844,392
984773,984,773
540922,540,922
613941,613,941
495417,495,417
624173,624,173
460328,460,328
236604,236,604
591402,591,402
704336,704,336
494739,494,739
851951,851,951
873401,873,401
581957,581,957
873562,873,562
280078,280,78
322194,322,194
408615,408,615
941138,941,138
648139,648,139
968081,968,81
610368,610,368
258441,258,441
84697,84,697
54511,54,511
443995,443,995
468526,468,526
639271,639,271
926836,926,836
943519,943,519
372240,372,240
683937,683,937
903817,903,817
727343,727,343
612804,612,804
384544,384,544
512949,512,949
966688,966,688
817747,817,747
495650,495,650
106156,106,156
426061,426,61
283924,283,924
352827,352,827
962001,962,1
734056,734,56
53121,53,121
846078,846,78
446200,446,200
911779,911,779
858490,858,490
987817,987,817
300338,300,338
591332,591,332
458367,458,367
651629,651,629
685078,685,78
149144,149,144
154520,154,520
629872,629,872
344607,344,607
180606,180,606
559534,559,534
366756,366,756
825412,825,412
53033,53,33
902793,902,793
491300,491,300
56099,56,99
701587,701,587
289165,289,165
164654,164,654
19835,19,835
664474,664,474
558162,558,162
62510,62,510
395326,395,326
385384,385,384
161141,161,141
90644,90,644
244405,244,405
275416,275,416
655111,655,111
136554,136,554
396784,396,784
58397,58,397
527551,527,551
78077,78,77
313034,313,34
919253,919,253
459481,459,481
816395,816,395
42619,42,619
145320,145,320
868521,868,521
471059,471,59
809996,809,996
796564,796,564
280794,280,794
22074,22,74
770050,770,50
155178,155,178
627896,627,896
598731,598,731
864236,864,236
231533,231,533
176165,176,165
625817,625,817
228450,228,450
265673,265,673
704527,704,527
342227,342,227
437986,437,986
406811,406,811
938897,938,897
949508,949,508
844058,844,58
195211,195,211
775769,775,769
94951,94,951
408616,408,616
790702,790,702
414334,414,334
847655,847,655
571695,571,695
285463,285,463
891631,891,631
410698,410,698
755224,755,224
788017,788,17
795204,795,204
897262,897,262
863685,863,685
714368,714,368
305024,305,24
462690,462,690
790504,790,504
881791,881,791
185508,185,508
443625,443,625
657404,657,404
767087,767,87
126924,126,924
111321,111,321
881351,881,351
126942,126,942
493865,493,865
484615,484,615
542257,542,257
496359,496,359
510522,510,522
342888,342,888
260038,260,38
707237,707,237
415679,415,679
894264,894,264
924943,924,943
306430,306,430
430737,430,737
808045,808,45
398168,398,168
317156,317,156
346486,346,486
771279,771,279
686454,686,454
48272,48,272
625981,625,981
